Customer_ID,Total_Spending,Avg_Transaction_Amount,Max_Transaction,Min_Transaction,Std_Transaction_Amount,Transaction_Count,Avg_Satisfaction_Score,Std_Satisfaction,Min_Satisfaction,Max_Satisfaction,Avg_Likelihood_to_Recommend,Min_Likelihood,Max_Likelihood,Count_Bill Payment,Count_Investment,Count_Loan Payment,Count_Purchase,Pct_Bill Payment,Pct_Investment,Pct_Loan Payment,Pct_Purchase,Pct_Business_Hours,Pct_Weekend_Transactions,Avg_Hour_of_Day,Std_Hour_of_Day,Tenure_Days,Days_Since_Last_Transaction,High_Risk_Transaction_Count,Engagement_Breadth,Avg_Feedback_Sentiment,Std_Feedback_Sentiment
1,16836.0,2806.0,4993.0,156.0,2062.31,6,10.0,0.0,10.0,10.0,9.0,9,9,3,1,1,1,50.0,1.79,1.73,1.68,0.17,0.17,6.83,6.85,181,26,1,4,4.0,0.0
2,4907.0,2453.5,2850.0,2057.0,560.74,2,3.0,0.0,3.0,3.0,3.0,3,3,1,0,1,0,50.0,0.0,1.92,0.0,0.0,0.5,13.5,13.44,104,68,0,2,4.0,0.0
3,1538.0,1538.0,1538.0,1538.0,0.0,1,10.0,0.0,10.0,10.0,1.0,1,1,1,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0,151,0,1,4.0,0.0
4,8295.0,4147.5,4736.0,3559.0,832.26,2,7.0,0.0,7.0,7.0,4.0,4,4,0,0,1,1,0.0,0.0,50.0,1.92,0.5,0.5,8.0,9.9,159,28,0,2,2.0,0.0
5,14798.0,2959.6,4878.0,1508.0,1386.58,5,8.0,0.0,8.0,8.0,7.0,7,7,2,1,0,2,40.0,2.22,0.0,4.24,0.6,0.4,12.8,8.38,158,1,1,3,1.0,0.0
6,8694.0,2898.0,3021.0,2749.0,137.85,3,3.0,0.0,3.0,3.0,1.0,1,1,0,1,2,0,0.0,33.33,5.51,0.0,0.0,0.33,3.33,0.58,62,98,1,2,2.0,0.0
7,3572.0,1786.0,3027.0,545.0,1755.04,2,3.0,0.0,3.0,3.0,2.0,2,2,0,0,2,0,0.0,0.0,100.0,0.0,0.0,0.0,13.0,14.14,19,10,0,1,2.0,0.0
8,12252.0,2042.0,4681.0,60.0,1939.66,6,7.0,0.0,7.0,7.0,5.0,5,5,1,0,4,1,16.67,0.0,17.64,2.48,0.5,0.33,10.83,5.98,95,94,0,3,2.0,0.0
9,17320.0,2165.0,4789.0,241.0,1737.66,8,10.0,0.0,10.0,10.0,9.0,9,9,1,3,2,2,12.5,14.63,5.69,4.9,0.38,0.12,11.38,7.01,145,54,3,4,3.0,0.0
10,15682.0,2613.67,4867.0,529.0,1794.71,6,7.0,0.0,7.0,7.0,1.0,1,1,3,1,0,2,50.0,1.79,0.0,3.46,0.67,0.5,13.5,3.39,126,6,1,3,3.0,0.0
11,4993.0,4993.0,4993.0,4993.0,0.0,1,9.0,0.0,9.0,9.0,4.0,4,4,1,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0,114,0,1,3.0,0.0
12,15415.0,3083.0,4970.0,1115.0,1463.89,5,6.0,0.0,6.0,6.0,3.0,3,3,3,0,2,0,60.0,0.0,3.08,0.0,0.4,0.0,15.6,7.13,123,25,0,2,1.0,0.0
13,18490.0,2054.44,4207.0,121.0,1296.51,9,7.0,0.0,7.0,7.0,5.0,5,5,3,3,3,0,33.33,7.09,6.07,0.0,0.22,0.22,11.89,8.27,130,40,3,3,4.0,0.0
14,19347.0,2763.86,4741.0,830.0,1307.67,7,10.0,0.0,10.0,10.0,5.0,5,5,3,0,3,1,42.86,0.0,6.02,1.79,0.43,0.14,13.71,6.5,159,32,0,3,4.0,0.0
15,24941.0,3117.62,4665.0,1107.0,1314.98,8,1.0,0.0,1.0,1.0,10.0,10,10,4,3,1,0,50.0,5.17,1.58,0.0,0.25,0.38,11.12,7.61,170,28,3,3,2.0,0.0
16,28563.0,3570.38,4901.0,763.0,1366.93,8,7.0,0.0,7.0,7.0,2.0,2,2,0,5,3,0,0.0,62.5,4.26,0.0,0.38,0.25,13.0,6.85,197,8,5,2,5.0,0.0
17,14484.0,2896.8,4364.0,1539.0,1014.97,5,2.0,0.0,2.0,2.0,5.0,5,5,1,3,0,1,20.0,12.0,0.0,2.7,0.2,0.0,10.8,8.01,128,9,3,3,2.0,0.0
