Customer_ID,Satisfaction_Score,Feedback_Comments,Likelihood_to_Recommend
1,10,Very satisfied,9
2,3,Very satisfied,3
3,10,Very satisfied,1
4,7,Needs improvement,4
5,8,Unsatisfactory,7
6,3,Needs improvement,1
7,3,Needs improvement,2
8,7,Needs improvement,5
9,10,Good service,9
10,7,Good service,1
11,9,Good service,4
12,6,Unsatisfactory,3
13,7,Very satisfied,5
14,10,Very satisfied,5
15,1,Needs improvement,10
16,7,Excellent,2
17,2,Needs improvement,5
18,7,Unsatisfactory,9
19,3,Needs improvement,5
20,9,Good service,10
21,5,Unsatisfactory,2
22,7,Unsatisfactory,7
23,8,Good service,6
24,2,Good service,7
25,1,Good service,8
26,7,Good service,10
27,6,Unsatisfactory,5
28,6,Good service,2
29,2,Good service,7
30,3,Unsatisfactory,7
31,4,Needs improvement,8
32,3,Needs improvement,7
33,2,Unsatisfactory,10
34,3,Good service,7
35,6,Needs improvement,9
36,9,Very satisfied,8
37,4,Very satisfied,2
38,6,Good service,2
39,1,Good service,7
40,6,Excellent,10
41,3,Excellent,10
42,9,Unsatisfactory,3
43,4,Good service,1
44,7,Excellent,9
45,4,Needs improvement,3
46,6,Good service,1
47,7,Unsatisfactory,6
48,2,Very satisfied,4
49,10,Very satisfied,1
50,6,Unsatisfactory,4
51,8,Needs improvement,8
52,6,Good service,7
53,,Needs improvement,1
54,4,Excellent,10
55,1,Needs improvement,9
56,7,Good service,6
57,8,Very satisfied,2
58,10,Good service,3
59,2,Excellent,7
60,10,Good service,3
61,5,Good service,3
62,8,Good service,5
63,8,Unsatisfactory,3
64,5,Needs improvement,3
65,8,Needs improvement,5
66,6,Good service,5
67,5,Very satisfied,9
68,4,Excellent,1
69,5,Excellent,1
70,4,Excellent,9
71,1,Excellent,5
72,3,Unsatisfactory,4
73,8,Needs improvement,2
74,7,Unsatisfactory,9
75,7,Needs improvement,6
76,3,Very satisfied,9
77,9,Good service,5
78,6,Excellent,4
79,8,Good service,7
80,8,Unsatisfactory,5
81,3,Very satisfied,8
82,4,Good service,8
83,6,Good service,2
84,2,Very satisfied,5
85,7,Very satisfied,10
86,2,Very satisfied,8
87,5,Unsatisfactory,3
88,4,Very satisfied,7
89,9,Good service,3
90,2,Very satisfied,6
91,7,Needs improvement,2
92,7,Needs improvement,6
93,7,Needs improvement,6
94,1,Good service,8
95,8,Good service,5
96,2,Unsatisfactory,1
97,5,Unsatisfactory,8
98,2,Very satisfied,9
99,5,Good service,1
100,7,Good service,5
101,6,Very satisfied,6
102,5,Unsatisfactory,4
103,4,Needs improvement,2
104,8,Good service,5
105,8,Good service,4
106,1,Excellent,7
107,10,Unsatisfactory,6
108,2,Unsatisfactory,3
109,3,Good service,9
110,1,Needs improvement,4
111,,Good service,5
112,10,Very satisfied,3
113,8,Good service,8
114,4,Needs improvement,7
115,7,Good service,7
116,7,Unsatisfactory,8
117,5,Very satisfied,7
118,,Good service,3
119,10,Very satisfied,3
120,4,Good service,2
121,7,Very satisfied,1
122,5,Good service,5
123,2,Good service,4
124,8,Good service,2
125,2,Needs improvement,1
126,8,Good service,3
127,2,Needs improvement,6
128,5,Needs improvement,2
129,4,Good service,10
130,1,Unsatisfactory,7
131,8,Needs improvement,7
132,10,Good service,3
133,3,Excellent,1
134,4,Unsatisfactory,9
135,4,Excellent,5
136,5,Needs improvement,2
137,3,Good service,8
138,9,Good service,10
139,4,Needs improvement,10
140,10,Excellent,4
141,4,Needs improvement,10
142,6,Unsatisfactory,7
143,8,Good service,5
144,7,Good service,3
145,4,Excellent,10
146,4,Unsatisfactory,8
147,5,Excellent,2
148,10,Unsatisfactory,1
149,5,Good service,5
150,1,Needs improvement,4
151,8,Excellent,10
152,10,Needs improvement,7
153,5,Good service,9
154,3,Good service,6
155,3,Needs improvement,1
156,4,Very satisfied,8
157,7,Unsatisfactory,2
158,5,Very satisfied,4
159,1,Good service,3
160,5,Unsatisfactory,6
161,5,Good service,2
162,6,Unsatisfactory,5
163,7,Good service,9
164,5,Excellent,3
165,2,Good service,2
166,2,Very satisfied,2
167,4,Unsatisfactory,9
168,1,Unsatisfactory,6
169,7,Good service,2
170,1,Excellent,3
171,3,Needs improvement,1
172,10,Excellent,2
173,7,Needs improvement,2
174,6,Good service,2
175,7,Good service,7
176,5,Good service,3
177,8,Needs improvement,4
178,6,Good service,2
179,4,Very satisfied,5
180,1,Good service,9
181,2,Good service,9
182,6,Unsatisfactory,7
183,4,Needs improvement,8
184,3,Unsatisfactory,5
185,7,Excellent,5
186,7,Needs improvement,3
187,2,Excellent,6
188,8,Good service,1
189,1,Very satisfied,3
190,10,Good service,2
191,7,Good service,7
192,10,Unsatisfactory,9
193,1,Needs improvement,4
194,3,Good service,7
195,3,Unsatisfactory,8
196,10,Needs improvement,10
197,2,Very satisfied,2
198,10,Needs improvement,7
199,5,Excellent,3
200,4,Unsatisfactory,8
201,6,Needs improvement,6
202,2,Good service,3
203,4,Very satisfied,8
204,7,Good service,3
205,1,Unsatisfactory,9
206,3,Good service,3
207,1,Good service,1
208,2,Excellent,2
209,9,Unsatisfactory,4
210,10,Needs improvement,2
211,5,Very satisfied,4
212,4,Very satisfied,4
213,4,Very satisfied,4
214,8,Needs improvement,1
215,3,Very satisfied,9
216,4,Unsatisfactory,10
217,2,Excellent,7
218,6,Good service,2
219,9,Good service,3
220,4,Unsatisfactory,8
221,6,Excellent,7
222,4,Unsatisfactory,4
223,2,Very satisfied,4
224,6,Very satisfied,9
225,7,Unsatisfactory,5
226,4,Needs improvement,5
227,,Very satisfied,7
228,8,Needs improvement,1
229,3,Unsatisfactory,3
230,2,Good service,2
231,5,Unsatisfactory,10
232,2,Very satisfied,6
233,10,Unsatisfactory,6
234,5,Needs improvement,10
235,10,Good service,1
236,6,Unsatisfactory,6
237,8,Unsatisfactory,10
238,6,Excellent,2
239,4,Good service,4
240,3,Needs improvement,6
241,2,Needs improvement,3
242,1,Needs improvement,3
243,2,Unsatisfactory,3
244,2,Very satisfied,4
245,5,Good service,9
246,9,Needs improvement,4
247,1,Very satisfied,4
248,4,Excellent,4
249,10,Needs improvement,7
250,7,Good service,5
251,10,Unsatisfactory,2
252,3,Good service,7
253,8,Needs improvement,3
254,3,Very satisfied,1
255,8,Good service,9
256,2,Very satisfied,5
257,5,Needs improvement,10
258,4,Good service,1
259,9,Good service,1
