Transaction_ID,Customer_ID,Transaction_Date,Transaction_Amount,Transaction_Type,Satisfaction_Score,Feedback_Comments,Likelihood_to_Recommend
1,393,2023-01-01 00:00:00,3472.0,Purchase,1.0,Excellent,3
2,826,2023-01-01 01:00:00,2460.0,Bill Payment,6.0,Needs Improvement,3
3,916,2023-01-01 02:00:00,10.0,Purchase,6.0,Needs Improvement,3
4,109,2023-01-01 03:00:00,72.0,Investment,3.0,Good Service,9
5,889,2023-01-01 04:00:00,1793.0,Investment,8.0,Very Satisfied,3
6,348,2023-01-01 05:00:00,3824.0,Loan Payment,6.0,Unsatisfactory,8
7,50,2023-01-01 06:00:00,235.0,Loan Payment,6.0,Unsatisfactory,4
8,916,2023-01-01 07:00:00,1052.0,Loan Payment,6.0,Needs Improvement,3
9,105,2023-01-01 08:00:00,854.0,Purchase,8.0,Good Service,4
10,420,2023-01-01 09:00:00,2690.0,Investment,5.0,Good Service,8
11,373,2023-01-01 10:00:00,4129.0,Investment,6.0,Needs Improvement,6
12,27,2023-01-01 11:00:00,1244.0,Investment,6.0,Unsatisfactory,5
13,968,2023-01-01 12:00:00,1994.0,Bill Payment,10.0,Needs Improvement,4
14,800,2023-01-01 13:00:00,4266.0,Purchase,8.0,Very Satisfied,10
15,769,2023-01-01 14:00:00,1288.0,Purchase,3.0,Excellent,2
16,273,2023-01-01 15:00:00,1604.0,Loan Payment,10.0,Needs Improvement,7
17,649,2023-01-01 16:00:00,2561.0,Bill Payment,10.0,Unsatisfactory,2
18,340,2023-01-01 17:00:00,1962.0,Bill Payment,5.0,Good Service,9
19,301,2023-01-01 18:00:00,1705.0,Investment,7.0,Needs Improvement,8
20,480,2023-01-01 19:00:00,964.0,Loan Payment,2.0,Unsatisfactory,3
21,834,2023-01-01 20:00:00,3301.0,Purchase,6.0,Unsatisfactory,3
22,544,2023-01-01 21:00:00,366.0,Bill Payment,5.0,Good Service,5
23,557,2023-01-01 22:00:00,3605.0,Investment,2.0,Very Satisfied,7
24,265,2023-01-01 23:00:00,978.0,Purchase,2.0,Needs Improvement,6
25,542,2023-01-02 00:00:00,251.0,Investment,9.0,Needs Improvement,2
26,596,2023-01-02 01:00:00,3456.0,Purchase,2.0,Good Service,2
27,166,2023-01-02 02:00:00,4244.0,Investment,2.0,Very Satisfied,2
28,316,2023-01-02 03:00:00,2154.0,Purchase,5.0,Very Satisfied,2
29,1,2023-01-02 04:00:00,156.0,Loan Payment,10.0,Very Satisfied,9
30,761,2023-01-02 05:00:00,552.0,Purchase,7.0,Good Service,7
31,261,2023-01-02 06:00:00,701.0,Purchase,5.0,Good Service,9
32,63,2023-01-02 07:00:00,2460.0,Purchase,8.0,Unsatisfactory,3
33,483,2023-01-02 08:00:00,4060.0,Investment,10.0,Needs Improvement,5
34,676,2023-01-02 09:00:00,4015.0,Bill Payment,10.0,Unsatisfactory,3
35,321,2023-01-02 10:00:00,3369.0,Purchase,3.0,Good Service,7
36,846,2023-01-02 11:00:00,2961.0,Purchase,8.0,Good Service,3
37,201,2023-01-02 12:00:00,739.0,Loan Payment,6.0,Needs Improvement,6
38,222,2023-01-02 13:00:00,4509.0,Purchase,4.0,Unsatisfactory,4
39,152,2023-01-02 14:00:00,2565.0,Loan Payment,10.0,Needs Improvement,7
40,644,2023-01-02 15:00:00,1160.0,Purchase,5.0,Unsatisfactory,5
41,626,2023-01-02 16:00:00,1745.0,Investment,8.0,Good Service,2
42,462,2023-01-02 17:00:00,1048.0,Bill Payment,8.0,Good Service,3
43,217,2023-01-02 18:00:00,2922.0,Bill Payment,2.0,Excellent,7
44,196,2023-01-02 19:00:00,4850.0,Bill Payment,10.0,Needs Improvement,10
45,793,2023-01-02 20:00:00,2550.0,Investment,4.0,Needs Improvement,2
46,202,2023-01-02 21:00:00,4424.0,Loan Payment,2.0,Good Service,3
47,995,2023-01-02 22:00:00,1252.0,Bill Payment,8.0,Good Service,5
48,647,2023-01-02 23:00:00,782.0,Investment,10.0,Very Satisfied,5
49,234,2023-01-03 00:00:00,1926.0,Investment,5.0,Needs Improvement,10
50,141,2023-01-03 01:00:00,3422.0,Purchase,4.0,Needs Improvement,10
51,708,2023-01-03 02:00:00,2509.0,Loan Payment,8.0,Very Satisfied,7
52,498,2023-01-03 03:00:00,3450.0,Investment,8.0,Excellent,4
53,555,2023-01-03 04:00:00,3555.0,Loan Payment,10.0,Very Satisfied,5
54,57,2023-01-03 05:00:00,1223.0,Bill Payment,8.0,Very Satisfied,2
55,932,2023-01-03 06:00:00,2941.0,Bill Payment,4.0,Needs Improvement,6
56,504,2023-01-03 07:00:00,428.0,Bill Payment,8.0,Good Service,3
57,142,2023-01-03 08:00:00,3791.0,Purchase,6.0,Unsatisfactory,7
58,722,2023-01-03 09:00:00,4970.0,Purchase,5.0,Good Service,4
59,584,2023-01-03 10:00:00,798.0,Loan Payment,2.0,Very Satisfied,7
60,736,2023-01-03 11:00:00,1881.0,Loan Payment,8.0,Unsatisfactory,2
61,539,2023-01-03 12:00:00,4600.0,Purchase,8.0,Very Satisfied,6
62,640,2023-01-03 13:00:00,2035.0,Investment,5.0,Unsatisfactory,9
63,106,2023-01-03 14:00:00,2456.0,Loan Payment,1.0,Excellent,7
64,165,2023-01-03 15:00:00,4833.0,Loan Payment,2.0,Good Service,2
65,215,2023-01-03 16:00:00,570.0,Bill Payment,3.0,Very Satisfied,9
66,71,2023-01-03 17:00:00,2661.0,Loan Payment,1.0,Excellent,5
67,716,2023-01-03 18:00:00,3914.0,Loan Payment,4.0,Needs Improvement,7
68,665,2023-01-03 19:00:00,549.0,Investment,1.0,Needs Improvement,10
69,579,2023-01-03 20:00:00,4765.0,Loan Payment,3.0,Needs Improvement,5
70,90,2023-01-03 21:00:00,3146.0,Investment,2.0,Very Satisfied,6
71,772,2023-01-03 22:00:00,3299.0,Bill Payment,1.0,Good Service,4
72,874,2023-01-03 23:00:00,2620.0,Purchase,7.0,Good Service,1
73,228,2023-01-04 00:00:00,4922.0,Bill Payment,8.0,Needs Improvement,1
74,79,2023-01-04 01:00:00,1954.0,Investment,8.0,Good Service,7
75,608,2023-01-04 02:00:00,3155.0,Investment,4.0,Good Service,5
76,349,2023-01-04 03:00:00,2768.0,Loan Payment,3.0,Needs Improvement,10
77,842,2023-01-04 04:00:00,3270.0,Loan Payment,5.0,Needs Improvement,10
78,981,2023-01-04 05:00:00,4117.0,Purchase,9.0,Unsatisfactory,1
79,894,2023-01-04 06:00:00,1905.0,Investment,7.0,Very Satisfied,8
80,246,2023-01-04 07:00:00,2510.0,Investment,9.0,Needs Improvement,4
81,272,2023-01-04 08:00:00,2839.0,Bill Payment,4.0,Unsatisfactory,10
82,403,2023-01-04 09:00:00,3883.0,Purchase,4.0,Very Satisfied,6
83,669,2023-01-04 10:00:00,57.0,Bill Payment,5.0,Very Satisfied,5
84,116,2023-01-04 11:00:00,2374.0,Loan Payment,7.0,Unsatisfactory,8
85,435,2023-01-04 12:00:00,2266.0,Loan Payment,4.0,Very Satisfied,3
86,530,2023-01-04 13:00:00,4682.0,Bill Payment,10.0,Good Service,10
87,442,2023-01-04 14:00:00,763.0,Loan Payment,7.0,Unsatisfactory,7
88,172,2023-01-04 15:00:00,2812.0,Bill Payment,10.0,Excellent,2
89,16,2023-01-04 16:00:00,4659.0,Investment,7.0,Excellent,2
90,961,2023-01-04 17:00:00,3662.0,Investment,4.0,Unsatisfactory,7
91,752,2023-01-04 18:00:00,412.0,Loan Payment,10.0,Needs Improvement,4
92,898,2023-01-04 19:00:00,2096.0,Purchase,6.0,Very Satisfied,5
93,56,2023-01-04 20:00:00,2237.0,Investment,7.0,Good Service,6
94,591,2023-01-04 21:00:00,3420.0,Loan Payment,5.0,Good Service,4
95,103,2023-01-04 22:00:00,3000.0,Purchase,4.0,Needs Improvement,2
96,284,2023-01-04 23:00:00,4653.0,Loan Payment,1.0,Good Service,1
97,705,2023-01-05 00:00:00,1159.0,Bill Payment,8.0,Unsatisfactory,4
98,517,2023-01-05 01:00:00,72.0,Loan Payment,1.0,Very Satisfied,3
99,618,2023-01-05 02:00:00,4949.0,Bill Payment,7.0,Very Satisfied,4
100,278,2023-01-05 03:00:00,3163.0,Investment,7.0,Good Service,3
101,885,2023-01-05 04:00:00,1018.0,Investment,7.0,Needs Improvement,9
102,612,2023-01-05 05:00:00,2041.0,Loan Payment,9.0,Excellent,3
103,750,2023-01-05 06:00:00,1332.0,Purchase,8.0,Excellent,3
104,269,2023-01-05 07:00:00,2091.0,Loan Payment,2.0,Good Service,10
105,833,2023-01-05 08:00:00,761.0,Loan Payment,2.0,Very Satisfied,8
106,400,2023-01-05 09:00:00,4154.0,Investment,9.0,Good Service,5
107,503,2023-01-05 10:00:00,667.0,Investment,8.0,Good Service,2
108,86,2023-01-05 11:00:00,1670.0,Loan Payment,2.0,Very Satisfied,8
109,320,2023-01-05 12:00:00,710.0,Investment,8.0,Excellent,9
110,32,2023-01-05 13:00:00,1090.0,Bill Payment,3.0,Needs Improvement,7
111,336,2023-01-05 14:00:00,2166.0,Loan Payment,5.0,Good Service,6
112,51,2023-01-05 15:00:00,1550.0,Investment,8.0,Needs Improvement,8
113,79,2023-01-05 16:00:00,3042.0,Loan Payment,8.0,Good Service,7
114,698,2023-01-05 17:00:00,1993.0,Investment,10.0,Good Service,8
115,174,2023-01-05 18:00:00,324.0,Bill Payment,6.0,Good Service,2
116,948,2023-01-05 19:00:00,3091.0,Bill Payment,6.0,Unsatisfactory,6
117,618,2023-01-05 20:00:00,4743.0,Loan Payment,7.0,Very Satisfied,4
118,501,2023-01-05 21:00:00,2324.0,Bill Payment,1.0,Good Service,1
119,575,2023-01-05 22:00:00,2145.0,Bill Payment,5.0,Needs Improvement,1
120,76,2023-01-05 23:00:00,1659.0,Investment,3.0,Very Satisfied,9
121,316,2023-01-06 00:00:00,3229.0,Loan Payment,5.0,Very Satisfied,2
122,833,2023-01-06 01:00:00,3810.0,Investment,2.0,Very Satisfied,8
123,373,2023-01-06 02:00:00,2488.0,Investment,6.0,Needs Improvement,6
124,81,2023-01-06 03:00:00,4077.0,Purchase,3.0,Very Satisfied,8
125,873,2023-01-06 04:00:00,1785.0,Bill Payment,7.0,Unsatisfactory,1
126,640,2023-01-06 05:00:00,1976.0,Investment,5.0,Unsatisfactory,9
127,695,2023-01-06 06:00:00,1777.0,Investment,8.0,Needs Improvement,5
128,755,2023-01-06 07:00:00,3825.0,Investment,10.0,Needs Improvement,1
129,697,2023-01-06 08:00:00,251.0,Bill Payment,10.0,Very Satisfied,4
130,732,2023-01-06 09:00:00,4807.0,Bill Payment,8.0,Excellent,3
131,71,2023-01-06 10:00:00,2959.0,Bill Payment,1.0,Excellent,5
132,969,2023-01-06 11:00:00,4846.0,Loan Payment,2.0,Unsatisfactory,2
133,854,2023-01-06 12:00:00,4886.0,Investment,5.0,Unsatisfactory,8
