Customer_ID,Transaction_Date,Transaction_Amount,Transaction_Type,Satisfaction_Score,Likelihood_to_Recommend,Feedback_Comments,Income_Group,Is_Business_Hours,Is_Weekend
393,2023-01-01 00:00:00,3472.0,Purchase,1.0,3,Excellent,Medium,0,1
826,2023-01-01 01:00:00,2460.0,Bill Payment,6.0,3,Needs Improvement,Medium,0,1
916,2023-01-01 02:00:00,10.0,Purchase,6.0,3,Needs Improvement,Low,0,1
109,2023-01-01 03:00:00,72.0,Investment,3.0,9,Good Service,Low,0,1
889,2023-01-01 04:00:00,1793.0,Investment,8.0,3,Very Satisfied,Medium,0,1
348,2023-01-01 05:00:00,3824.0,Loan Payment,6.0,8,Unsatisfactory,High,0,1
50,2023-01-01 06:00:00,235.0,Loan Payment,6.0,4,Unsatisfactory,Low,0,1
916,2023-01-01 07:00:00,1052.0,Loan Payment,6.0,3,Needs Improvement,Low,0,1
105,2023-01-01 08:00:00,854.0,Purchase,8.0,4,Good Service,Low,0,1
420,2023-01-01 09:00:00,2690.0,Investment,5.0,8,Good Service,Medium,1,1
373,2023-01-01 10:00:00,4129.0,Investment,6.0,6,Needs Improvement,High,1,1
27,2023-01-01 11:00:00,1244.0,Investment,6.0,5,Unsatisfactory,Low,1,1
968,2023-01-01 12:00:00,1994.0,Bill Payment,10.0,4,Needs Improvement,Medium,1,1
800,2023-01-01 13:00:00,4266.0,Purchase,8.0,10,Very Satisfied,High,1,1
769,2023-01-01 14:00:00,1288.0,Purchase,3.0,2,Excellent,Medium,1,1
273,2023-01-01 15:00:00,1604.0,Loan Payment,10.0,7,Needs Improvement,Medium,1,1
649,2023-01-01 16:00:00,2561.0,Bill Payment,10.0,2,Unsatisfactory,Medium,1,1
340,2023-01-01 17:00:00,1962.0,Bill Payment,5.0,9,Good Service,Medium,0,1
301,2023-01-01 18:00:00,1705.0,Investment,7.0,8,Needs Improvement,Medium,0,1
480,2023-01-01 19:00:00,964.0,Loan Payment,2.0,3,Unsatisfactory,Low,0,1
834,2023-01-01 20:00:00,3301.0,Purchase,6.0,3,Unsatisfactory,Medium,0,1
544,2023-01-01 21:00:00,366.0,Bill Payment,5.0,5,Good Service,Low,0,1
557,2023-01-01 22:00:00,3605.0,Investment,2.0,7,Very Satisfied,Medium,0,1
265,2023-01-01 23:00:00,978.0,Purchase,2.0,6,Needs Improvement,Low,0,1
542,2023-01-02 00:00:00,251.0,Investment,9.0,2,Needs Improvement,Low,0,0
596,2023-01-02 01:00:00,3456.0,Purchase,2.0,2,Good Service,Medium,0,0
166,2023-01-02 02:00:00,4244.0,Investment,2.0,2,Very Satisfied,High,0,0
316,2023-01-02 03:00:00,2154.0,Purchase,5.0,2,Very Satisfied,Medium,0,0
1,2023-01-02 04:00:00,156.0,Loan Payment,10.0,9,Very Satisfied,Low,0,0
761,2023-01-02 05:00:00,552.0,Purchase,7.0,7,Good Service,Low,0,0
261,2023-01-02 06:00:00,701.0,Purchase,5.0,9,Good Service,Low,0,0
63,2023-01-02 07:00:00,2460.0,Purchase,8.0,3,Unsatisfactory,Medium,0,0
483,2023-01-02 08:00:00,4060.0,Investment,10.0,5,Needs Improvement,High,0,0
676,2023-01-02 09:00:00,4015.0,Bill Payment,10.0,3,Unsatisfactory,High,1,0
321,2023-01-02 10:00:00,3369.0,Purchase,3.0,7,Good Service,Medium,1,0
846,2023-01-02 11:00:00,2961.0,Purchase,8.0,3,Good Service,Medium,1,0
201,2023-01-02 12:00:00,739.0,Loan Payment,6.0,6,Needs Improvement,Low,1,0
222,2023-01-02 13:00:00,4509.0,Purchase,4.0,4,Unsatisfactory,High,1,0
152,2023-01-02 14:00:00,2565.0,Loan Payment,10.0,7,Needs Improvement,Medium,1,0
644,2023-01-02 15:00:00,1160.0,Purchase,5.0,5,Unsatisfactory,Low,1,0
626,2023-01-02 16:00:00,1745.0,Investment,8.0,2,Good Service,Medium,1,0
462,2023-01-02 17:00:00,1048.0,Bill Payment,8.0,3,Good Service,Low,0,0
217,2023-01-02 18:00:00,2922.0,Bill Payment,2.0,7,Excellent,Medium,0,0
196,2023-01-02 19:00:00,4850.0,Bill Payment,10.0,10,Needs Improvement,High,0,0
793,2023-01-02 20:00:00,2550.0,Investment,4.0,2,Needs Improvement,Medium,0,0
202,2023-01-02 21:00:00,4424.0,Loan Payment,2.0,3,Good Service,High,0,0
995,2023-01-02 22:00:00,1252.0,Bill Payment,8.0,5,Good Service,Low,0,0
647,2023-01-02 23:00:00,782.0,Investment,10.0,5,Very Satisfied,Low,0,0
234,2023-01-03 00:00:00,1926.0,Investment,5.0,10,Needs Improvement,Medium,0,0
