Customer_ID,Total_Spending,Avg_Transaction_Amount,Max_Transaction,Min_Transaction,Std_Transaction_Amount,Median_Transaction,Transaction_Count,Avg_Satisfaction,Std_Satisfaction,Min_Satisfaction,Max_Satisfaction,Avg_Likelihood_to_Recommend,Min_Likelihood,Max_Likelihood,Avg_Feedback_Sentiment,Std_Feedback_Sentiment,Pct_Business_Hours,Pct_Weekend_Transactions,Pct_Morning_Transactions,Pct_Evening_Transactions,Avg_Hour_of_Day,Std_Hour_of_Day,Count_Bill Payment,Count_Investment,Count_Loan Payment,Count_Purchase,Primary_Income_Group
1,16836.0,2806.0,4993.0,156.0,2062.31,2771.0,6,10.0,0.0,10.0,10.0,9.0,9,9,4.0,0.0,0.17,0.17,0.0,0.0,6.83,6.85,3,1,1,1,High
2,4907.0,2453.5,2850.0,2057.0,560.74,2453.5,2,3.0,0.0,3.0,3.0,3.0,3,3,4.0,0.0,0.0,0.5,0.0,0.5,13.5,13.44,1,0,1,0,Low
3,1538.0,1538.0,1538.0,1538.0,,1538.0,1,10.0,,10.0,10.0,1.0,1,1,4.0,,0.0,0.0,0.0,1.0,23.0,,1,0,0,0,Low
4,8295.0,4147.5,4736.0,3559.0,832.26,4147.5,2,7.0,0.0,7.0,7.0,4.0,4,4,2.0,0.0,0.5,0.5,0.0,0.0,8.0,9.9,0,0,1,1,Medium
5,14798.0,2959.6,4878.0,1508.0,1386.58,2305.0,5,8.0,0.0,8.0,8.0,7.0,7,7,1.0,0.0,0.6,0.4,0.2,0.2,12.8,8.38,2,1,0,2,Medium
6,8694.0,2898.0,3021.0,2749.0,137.85,2924.0,3,3.0,0.0,3.0,3.0,1.0,1,1,2.0,0.0,0.0,0.33,0.0,0.0,3.33,0.58,0,1,2,0,Medium
7,3572.0,1786.0,3027.0,545.0,1755.04,1786.0,2,3.0,0.0,3.0,3.0,2.0,2,2,2.0,0.0,0.0,0.0,0.0,0.5,13.0,14.14,0,0,2,0,Low
8,12252.0,2042.0,4681.0,60.0,1939.66,1511.0,6,7.0,0.0,7.0,7.0,5.0,5,5,2.0,0.0,0.5,0.33,0.17,0.17,10.83,5.98,1,0,4,1,Medium
9,17320.0,2165.0,4789.0,241.0,1737.66,2230.0,8,10.0,0.0,10.0,10.0,9.0,9,9,3.0,0.0,0.38,0.12,0.0,0.25,11.38,7.01,1,3,2,2,High
10,15682.0,2613.67,4867.0,529.0,1794.71,2053.5,6,7.0,0.0,7.0,7.0,1.0,1,1,3.0,0.0,0.67,0.5,0.33,0.0,13.5,3.39,3,1,0,2,Medium
11,4993.0,4993.0,4993.0,4993.0,,4993.0,1,9.0,,9.0,9.0,4.0,4,4,3.0,,0.0,0.0,0.0,1.0,22.0,,1,0,0,0,Low
12,15415.0,3083.0,4970.0,1115.0,1463.89,3505.0,5,6.0,0.0,6.0,6.0,3.0,3,3,1.0,0.0,0.4,0.0,0.0,0.4,15.6,7.13,3,0,2,0,Medium
13,18490.0,2054.44,4207.0,121.0,1296.51,2348.0,9,7.0,0.0,7.0,7.0,5.0,5,5,4.0,0.0,0.22,0.22,0.22,0.22,11.89,8.27,3,3,3,0,High
14,19347.0,2763.86,4741.0,830.0,1307.67,2640.0,7,10.0,0.0,10.0,10.0,5.0,5,5,4.0,0.0,0.43,0.14,0.43,0.29,13.71,6.5,3,0,3,1,High
15,24941.0,3117.62,4665.0,1107.0,1314.98,3340.0,8,1.0,0.0,1.0,1.0,10.0,10,10,2.0,0.0,0.25,0.38,0.38,0.25,11.12,7.61,4,3,1,0,High
16,28563.0,3570.38,4901.0,763.0,1366.93,4161.5,8,7.0,0.0,7.0,7.0,2.0,2,2,5.0,0.0,0.38,0.25,0.25,0.12,13.0,6.85,0,5,3,0,High
17,14484.0,2896.8,4364.0,1539.0,1014.97,2981.0,5,2.0,0.0,2.0,2.0,5.0,5,5,2.0,0.0,0.2,0.0,0.2,0.2,10.8,8.01,1,3,0,1,Medium
18,8074.0,2018.5,3439.0,689.0,1198.86,1973.0,4,7.0,0.0,7.0,7.0,9.0,9,9,1.0,0.0,0.25,0.5,0.0,0.5,14.0,6.16,1,0,1,2,Medium
19,6929.0,2309.67,3384.0,1229.0,1077.51,2316.0,3,3.0,0.0,3.0,3.0,5.0,5,5,2.0,0.0,0.33,0.0,0.0,0.0,10.67,7.77,2,1,0,0,Low
20,4408.0,4408.0,4408.0,4408.0,,4408.0,1,9.0,,9.0,9.0,10.0,10,10,3.0,,0.0,0.0,0.0,0.0,4.0,,0,0,1,0,Low
21,14190.0,2365.0,4359.0,470.0,1476.13,2408.0,6,5.0,0.0,5.0,5.0,2.0,2,2,1.0,0.0,0.0,0.0,0.33,0.33,11.33,8.48,0,3,2,1,Medium
22,7440.0,2480.0,4869.0,1220.0,2069.97,1351.0,3,7.0,0.0,7.0,7.0,7.0,7,7,1.0,0.0,0.67,0.33,0.33,0.0,11.67,3.21,0,0,3,0,Low
23,19469.0,1946.9,4570.0,122.0,1317.24,1613.5,10,8.0,0.0,8.0,8.0,6.0,6,6,3.0,0.0,0.3,0.2,0.5,0.4,12.6,6.64,1,3,3,3,High
24,16534.0,4133.5,4690.0,3304.0,588.37,4270.0,4,2.0,0.0,2.0,2.0,7.0,7,7,3.0,0.0,0.5,0.0,0.75,0.0,7.5,3.11,3,1,0,0,High
25,12719.0,3179.75,4310.0,2292.0,847.04,3058.5,4,1.0,0.0,1.0,1.0,8.0,8,8,3.0,0.0,0.5,0.5,0.25,0.25,13.25,5.06,2,0,0,2,Medium
26,9026.0,2256.5,3955.0,952.0,1424.85,2059.5,4,7.0,0.0,7.0,7.0,10.0,10,10,3.0,0.0,0.25,0.0,0.75,0.25,10.5,6.45,1,0,1,2,Medium
27,19989.0,3331.5,7315.0,1244.0,2309.16,2754.5,6,6.0,0.0,6.0,6.0,5.0,5,5,1.0,0.0,0.5,0.5,0.33,0.17,9.83,6.85,3,1,0,2,High
28,20987.0,2998.14,4631.0,654.0,1716.55,4022.0,7,6.0,0.0,6.0,6.0,2.0,2,2,3.0,0.0,0.14,0.43,0.43,0.29,10.57,8.83,0,2,3,2,High
29,4253.0,1417.67,3439.0,38.0,1788.99,776.0,3,2.0,0.0,2.0,2.0,7.0,7,7,3.0,0.0,0.0,0.33,0.0,0.0,2.0,1.73,0,1,0,2,Low
30,22781.0,2531.22,4873.0,297.0,1694.42,3221.0,9,3.0,0.0,3.0,3.0,7.0,7,7,1.0,0.0,0.44,0.0,0.33,0.44,13.89,6.99,6,1,1,1,High
31,14962.0,2493.67,4907.0,1171.0,1442.06,2013.5,6,4.0,0.0,4.0,4.0,8.0,8,8,2.0,0.0,0.33,0.17,0.33,0.33,12.83,7.83,2,2,2,0,Medium
32,28958.0,3217.56,4944.0,359.0,1853.65,4128.0,9,3.0,0.0,3.0,3.0,7.0,7,7,2.0,0.0,0.33,0.11,0.0,0.44,15.67,6.91,3,2,3,1,High
33,5771.0,1923.67,2944.0,1190.0,911.46,1637.0,3,2.0,0.0,2.0,2.0,10.0,10,10,1.0,0.0,0.0,0.33,0.0,1.0,19.0,1.0,0,3,0,0,Low
34,16045.0,2674.17,4925.0,22.0,1742.77,3128.5,6,3.0,0.0,3.0,3.0,7.0,7,7,3.0,0.0,0.0,0.67,0.33,0.33,11.83,8.08,2,1,1,2,Medium
35,8533.0,2844.33,3469.0,1767.0,936.95,3297.0,3,6.0,0.0,6.0,6.0,9.0,9,9,2.0,0.0,0.0,0.33,0.0,0.33,14.67,9.71,1,1,1,0,Medium
36,24595.0,2732.78,4907.0,61.0,1887.51,2005.0,9,9.0,0.0,9.0,9.0,8.0,8,8,4.0,0.0,0.11,0.33,0.11,0.56,14.0,8.08,1,4,2,2,High
37,11775.0,1962.5,2695.0,537.0,820.7,2315.5,6,4.0,0.0,4.0,4.0,2.0,2,2,4.0,0.0,0.33,0.33,0.17,0.17,12.33,7.09,3,1,1,1,Medium
38,26319.0,2924.33,4457.0,715.0,1422.13,3100.0,9,6.0,0.0,6.0,6.0,2.0,2,2,3.0,0.0,0.22,0.11,0.22,0.44,12.44,8.43,5,0,2,2,High
39,26202.0,2620.2,4547.0,342.0,1409.63,2874.0,10,1.0,0.0,1.0,1.0,7.0,7,7,3.0,0.0,0.3,0.2,0.2,0.1,8.3,6.38,2,2,5,1,High
40,6511.0,1627.75,2273.0,363.0,868.32,1937.5,4,6.0,0.0,6.0,6.0,10.0,10,10,5.0,0.0,0.5,0.25,0.25,0.25,12.0,8.83,0,2,0,2,Low
41,16246.0,4061.5,4964.0,2217.0,1275.08,4532.5,4,3.0,0.0,3.0,3.0,10.0,10,10,5.0,0.0,0.25,0.5,0.0,0.25,14.25,8.58,1,0,0,3,Medium
42,9132.0,2283.0,3324.0,1076.0,1178.57,2366.0,4,9.0,0.0,9.0,9.0,3.0,3,3,1.0,0.0,0.25,0.25,0.25,0.25,12.0,8.87,1,0,0,3,Medium
43,5050.0,1010.0,2304.0,75.0,832.3,857.0,5,4.0,0.0,4.0,4.0,1.0,1,1,3.0,0.0,0.2,0.4,0.2,0.4,13.0,9.27,1,1,1,2,Low
44,9153.0,2288.25,4826.0,262.0,1916.76,2032.5,4,7.0,0.0,7.0,7.0,9.0,9,9,5.0,0.0,0.25,0.0,0.5,0.25,10.75,7.59,3,0,0,1,Medium
45,11109.0,2777.25,4911.0,628.0,2219.87,2785.0,4,4.0,0.0,4.0,4.0,3.0,3,3,2.0,0.0,0.25,0.25,0.5,0.0,8.75,4.92,0,2,1,1,Medium
46,8310.0,1187.14,2837.0,644.0,772.73,795.0,7,6.0,0.0,6.0,6.0,1.0,1,1,3.0,0.0,0.29,0.43,0.14,0.29,15.57,5.77,0,2,2,3,Medium
47,19663.0,2457.88,3163.0,1262.0,671.53,2758.0,8,7.0,0.0,7.0,7.0,6.0,6,6,1.0,0.0,0.12,0.38,0.0,0.38,13.62,7.67,1,3,2,2,High
48,11357.0,2839.25,4364.0,891.0,1450.98,3051.0,4,2.0,0.0,2.0,2.0,4.0,4,4,4.0,0.0,0.0,0.5,0.0,0.25,6.0,8.68,0,1,1,2,Medium
49,6676.0,2225.33,4049.0,757.0,1674.52,1870.0,3,10.0,0.0,10.0,10.0,1.0,1,1,4.0,0.0,0.0,0.33,0.0,1.0,21.67,2.31,1,1,0,1,Low
50,7730.0,1288.33,3501.0,235.0,1237.57,949.0,6,6.0,0.0,6.0,6.0,4.0,4,4,1.0,0.0,0.17,0.33,0.33,0.17,11.67,6.71,2,2,2,0,Low
51,13557.0,2259.5,4654.0,565.0,1529.25,1840.0,6,8.0,0.0,8.0,8.0,8.0,8,8,2.0,0.0,0.33,0.5,0.0,0.33,15.33,6.31,1,1,2,2,Medium
52,23619.0,2952.38,4928.0,143.0,1644.08,2995.5,8,6.0,0.0,6.0,6.0,7.0,7,7,3.0,0.0,0.12,0.38,0.62,0.12,7.5,5.4,4,0,3,1,High
53,16540.0,3308.0,4741.0,696.0,1692.88,3690.0,5,6.0,0.0,6.0,6.0,1.0,1,1,2.0,0.0,0.2,0.6,0.0,0.0,6.6,5.32,0,1,2,2,High
55,19847.0,3307.83,4915.0,1365.0,1234.8,3596.5,6,1.0,0.0,1.0,1.0,9.0,9,9,2.0,0.0,0.5,0.17,0.17,0.0,10.0,6.07,1,1,1,3,High
56,11486.0,2297.2,3614.0,273.0,1247.72,2460.0,5,7.0,0.0,7.0,7.0,6.0,6,6,3.0,0.0,0.2,0.2,0.4,0.2,11.8,6.69,1,2,0,2,Medium
57,2570.0,1285.0,1347.0,1223.0,87.68,1285.0,2,8.0,0.0,8.0,8.0,2.0,2,2,4.0,0.0,0.5,0.0,0.5,0.0,7.5,3.54,1,0,1,0,Low
58,6288.0,1572.0,2411.0,42.0,1083.99,1917.5,4,10.0,0.0,10.0,10.0,3.0,3,3,3.0,0.0,0.25,0.25,0.0,0.5,12.0,8.49,2,1,1,0,Low
59,28720.0,3590.0,7315.0,1260.0,1969.71,3450.5,8,2.0,0.0,2.0,2.0,7.0,7,7,5.0,0.0,0.12,0.25,0.25,0.38,11.62,7.54,2,1,4,1,High
60,2784.0,1392.0,1938.0,846.0,772.16,1392.0,2,10.0,0.0,10.0,10.0,3.0,3,3,3.0,0.0,0.0,0.0,0.5,0.5,13.0,9.9,0,0,1,1,Low
61,1848.0,924.0,1431.0,417.0,717.01,924.0,2,5.0,0.0,5.0,5.0,3.0,3,3,3.0,0.0,0.5,0.0,0.5,0.0,11.0,5.66,1,0,0,1,Low
62,7112.0,1422.4,3374.0,380.0,1413.97,437.0,5,8.0,0.0,8.0,8.0,5.0,5,5,3.0,0.0,0.2,0.2,0.2,0.4,12.6,7.27,2,1,0,2,Low
63,8502.0,2125.5,4365.0,368.0,1720.73,1884.5,4,8.0,0.0,8.0,8.0,3.0,3,3,1.0,0.0,0.25,0.25,0.5,0.0,6.5,3.32,3,0,0,1,Medium
64,4518.0,4518.0,4518.0,4518.0,,4518.0,1,5.0,,5.0,5.0,3.0,3,3,2.0,,1.0,0.0,1.0,0.0,9.0,,1,0,0,0,Low
65,7665.0,1916.25,3218.0,1059.0,994.05,1694.0,4,8.0,0.0,8.0,8.0,5.0,5,5,2.0,0.0,0.75,0.0,0.5,0.0,10.0,4.55,1,1,0,2,Low
66,17008.0,2429.71,4379.0,655.0,1428.12,2460.0,7,6.0,0.0,6.0,6.0,5.0,5,5,3.0,0.0,0.29,0.43,0.29,0.0,6.86,5.27,0,2,2,3,High
67,17507.0,2917.83,3747.0,393.0,1259.27,3394.5,6,5.0,0.0,5.0,5.0,9.0,9,9,4.0,0.0,0.0,0.33,0.33,0.33,9.83,8.66,2,1,1,2,High
68,15692.0,2241.71,4705.0,405.0,1417.76,1809.0,7,4.0,0.0,4.0,4.0,1.0,1,1,5.0,0.0,0.14,0.14,0.43,0.29,11.29,6.37,2,2,1,2,Medium
69,11484.0,1914.0,4334.0,299.0,1688.93,1324.0,6,5.0,0.0,5.0,5.0,1.0,1,1,5.0,0.0,0.0,0.33,0.17,0.33,9.5,8.02,1,1,2,2,Medium
70,6152.0,2050.67,3137.0,965.0,1086.0,2050.0,3,4.0,0.0,4.0,4.0,9.0,9,9,5.0,0.0,0.0,0.33,0.33,0.0,4.67,3.51,1,2,0,0,Low
71,12508.0,1786.86,3639.0,123.0,1400.82,2119.0,7,1.0,0.0,1.0,1.0,5.0,5,5,5.0,0.0,0.43,0.29,0.14,0.0,8.43,7.32,2,0,4,1,Medium
72,23293.0,3882.17,4848.0,2844.0,822.3,4083.5,6,3.0,0.0,3.0,3.0,4.0,4,4,1.0,0.0,0.17,0.17,0.33,0.33,9.83,7.25,1,3,1,1,High
73,12600.0,2100.0,3869.0,182.0,1661.03,2075.5,6,8.0,0.0,8.0,8.0,2.0,2,2,2.0,0.0,0.67,0.17,0.33,0.17,13.67,4.03,1,2,2,1,Medium
74,7363.0,1051.86,2495.0,211.0,782.47,952.0,7,7.0,0.0,7.0,7.0,9.0,9,9,1.0,0.0,0.43,0.29,0.0,0.57,18.0,4.28,1,2,1,3,Low
75,9301.0,3100.33,3865.0,2056.0,936.37,3380.0,3,7.0,0.0,7.0,7.0,6.0,6,6,2.0,0.0,0.33,0.0,0.33,0.0,8.67,5.51,0,0,1,2,Medium
76,5693.0,2846.5,4034.0,1659.0,1679.38,2846.5,2,3.0,0.0,3.0,3.0,9.0,9,9,4.0,0.0,0.5,0.0,0.0,0.5,19.0,5.66,0,1,0,1,Low
77,15111.0,2158.71,3309.0,80.0,1034.82,2249.0,7,9.0,0.0,9.0,9.0,5.0,5,5,3.0,0.0,0.29,0.29,0.29,0.43,13.86,8.32,2,1,3,1,Medium
78,25838.0,2870.89,4818.0,584.0,1476.56,2863.0,9,6.0,0.0,6.0,6.0,4.0,4,4,5.0,0.0,0.22,0.33,0.11,0.33,10.89,8.96,4,1,4,0,High
79,30179.0,3017.9,4770.0,1189.0,1193.74,3047.5,10,8.0,0.0,8.0,8.0,7.0,7,7,3.0,0.0,0.3,0.2,0.3,0.4,12.9,7.0,4,1,4,1,High
80,14875.0,3718.75,4815.0,1383.0,1575.3,4338.5,4,8.0,0.0,8.0,8.0,5.0,5,5,1.0,0.0,0.75,0.0,0.25,0.25,15.75,5.25,1,0,2,1,Medium
81,20282.0,2535.25,4077.0,99.0,1312.66,2704.0,8,3.0,0.0,3.0,3.0,8.0,8,8,4.0,0.0,0.38,0.38,0.12,0.25,11.5,7.19,2,1,3,2,High
82,15031.0,3757.75,4907.0,2600.0,968.24,3762.0,4,4.0,0.0,4.0,4.0,8.0,8,8,3.0,0.0,0.0,0.25,0.25,0.0,3.25,3.4,0,2,2,0,Medium
83,15720.0,2245.71,4572.0,558.0,1589.71,2284.0,7,6.0,0.0,6.0,6.0,2.0,2,2,3.0,0.0,0.0,0.29,0.43,0.0,4.14,3.02,3,2,2,0,Medium
84,22828.0,2853.5,4578.0,282.0,1641.86,3355.0,8,2.0,0.0,2.0,2.0,5.0,5,5,4.0,0.0,0.0,0.25,0.0,0.5,11.62,10.68,3,0,2,3,High
85,10414.0,2082.8,3682.0,700.0,1169.36,1684.0,5,7.0,0.0,7.0,7.0,10.0,10,10,4.0,0.0,0.8,0.4,0.2,0.0,11.6,5.13,2,1,1,1,Medium
86,11973.0,2394.6,4546.0,401.0,1568.26,2154.0,5,2.0,0.0,2.0,2.0,8.0,8,8,4.0,0.0,0.6,0.2,0.4,0.2,14.2,3.27,2,1,1,1,Medium
87,11480.0,1640.0,3042.0,148.0,1209.18,2389.0,7,5.0,0.0,5.0,5.0,3.0,3,3,1.0,0.0,0.71,0.14,0.29,0.0,11.43,4.86,1,1,3,2,Medium
89,2318.0,1159.0,1218.0,1100.0,83.44,1159.0,2,9.0,0.0,9.0,9.0,3.0,3,3,3.0,0.0,0.0,0.0,0.5,0.5,15.5,10.61,0,1,0,1,Low
90,15559.0,2593.17,4007.0,1369.0,1155.98,2494.5,6,2.0,0.0,2.0,2.0,6.0,6,6,4.0,0.0,0.67,0.33,0.33,0.17,15.0,4.34,1,1,1,3,Medium
91,9780.0,3260.0,4548.0,2366.0,1143.11,2866.0,3,7.0,0.0,7.0,7.0,2.0,2,2,2.0,0.0,0.0,0.33,0.33,0.33,10.33,10.41,1,2,0,0,Medium
92,11939.0,2387.8,3996.0,1263.0,1160.99,1735.0,5,7.0,0.0,7.0,7.0,6.0,6,6,2.0,0.0,0.2,0.2,0.0,0.6,14.8,9.01,2,1,1,1,Medium
93,6254.0,2084.67,3858.0,483.0,1694.04,1913.0,3,7.0,0.0,7.0,7.0,6.0,6,6,2.0,0.0,0.33,0.33,0.0,0.33,11.33,10.6,0,1,1,1,Low
94,7010.0,3505.0,4264.0,2746.0,1073.39,3505.0,2,1.0,0.0,1.0,1.0,8.0,8,8,3.0,0.0,0.5,0.5,0.0,0.5,18.5,6.36,1,0,0,1,Low
95,21748.0,2718.5,4921.0,458.0,1359.57,2865.0,8,8.0,0.0,8.0,8.0,5.0,5,5,3.0,0.0,0.12,0.25,0.12,0.0,5.0,3.46,1,2,2,3,High
96,9522.0,2380.5,3566.0,626.0,1266.27,2665.0,4,2.0,0.0,2.0,2.0,1.0,1,1,1.0,0.0,0.0,0.0,0.25,0.5,11.75,9.98,0,3,1,0,Medium
97,10806.0,2161.2,4670.0,124.0,1823.42,1688.0,5,5.0,0.0,5.0,5.0,8.0,8,8,1.0,0.0,0.8,0.0,0.6,0.0,9.6,5.18,1,1,1,2,Medium
98,2536.0,1268.0,2460.0,76.0,1685.74,1268.0,2,2.0,0.0,2.0,2.0,9.0,9,9,4.0,0.0,0.0,0.0,0.0,0.5,13.0,14.14,2,0,0,0,Low
99,12878.0,2575.6,3801.0,1029.0,1052.2,2968.0,5,5.0,0.0,5.0,5.0,1.0,1,1,3.0,0.0,0.6,0.4,0.2,0.0,9.2,4.87,4,0,0,1,Medium
100,5850.0,1462.5,2760.0,919.0,872.27,1085.5,4,7.0,0.0,7.0,7.0,5.0,5,5,3.0,0.0,0.25,0.0,0.0,0.25,9.5,9.68,1,1,1,1,Low
101,1552.0,1552.0,1552.0,1552.0,,1552.0,1,6.0,,6.0,6.0,6.0,6,6,4.0,,0.0,1.0,1.0,0.0,6.0,,0,1,0,0,Low
102,9005.0,4502.5,4845.0,4160.0,484.37,4502.5,2,5.0,0.0,5.0,5.0,4.0,4,4,1.0,0.0,0.0,0.5,0.0,1.0,21.0,1.41,0,1,0,1,Medium
103,20527.0,2565.88,4451.0,373.0,1592.51,2318.0,8,4.0,0.0,4.0,4.0,2.0,2,2,2.0,0.0,0.5,0.12,0.38,0.25,10.38,7.89,1,0,1,6,High
104,17691.0,2948.5,4739.0,1639.0,1179.13,2912.0,6,8.0,0.0,8.0,8.0,5.0,5,5,3.0,0.0,0.33,0.17,0.5,0.5,14.5,5.75,2,2,2,0,High
105,12515.0,1787.86,3456.0,766.0,991.01,1790.0,7,8.0,0.0,8.0,8.0,4.0,4,4,3.0,0.0,0.43,0.43,0.29,0.29,13.43,6.19,1,1,1,4,Medium
106,18226.0,2025.11,4834.0,104.0,1610.07,1937.0,9,1.0,0.0,1.0,1.0,7.0,7,7,5.0,0.0,0.44,0.11,0.44,0.33,12.78,4.66,2,1,2,4,High
107,9201.0,1533.5,3413.0,200.0,1238.12,1297.0,6,10.0,0.0,10.0,10.0,6.0,6,6,1.0,0.0,0.5,0.67,0.5,0.17,12.5,5.61,2,1,2,1,Medium
108,22922.0,3274.57,4370.0,1956.0,1062.94,3876.0,7,2.0,0.0,2.0,2.0,3.0,3,3,1.0,0.0,0.43,0.14,0.29,0.43,14.71,7.3,4,0,3,0,High
