Customer_ID,Total_Spending,Avg_Transaction_Amount,Transaction_Count,Avg_Satisfaction,Avg_Likelihood_to_Recommend,Pct_Business_Hours,Pct_Weekend_Transactions,Cluster
1,16836.0,2806.0,6,10.0,9.0,0.17,0.17,0
2,4907.0,2453.5,2,3.0,3.0,0.0,0.5,2
3,1538.0,1538.0,1,10.0,1.0,0.0,0.0,1
4,8295.0,4147.5,2,7.0,4.0,0.5,0.5,2
5,14798.0,2959.6,5,8.0,7.0,0.6,0.4,3
6,8694.0,2898.0,3,3.0,1.0,0.0,0.33,1
7,3572.0,1786.0,2,3.0,2.0,0.0,0.0,1
8,12252.0,2042.0,6,7.0,5.0,0.5,0.33,0
9,17320.0,2165.0,8,10.0,9.0,0.38,0.12,0
10,15682.0,2613.67,6,7.0,1.0,0.67,0.5,0
11,4993.0,4993.0,1,9.0,4.0,0.0,0.0,3
12,15415.0,3083.0,5,6.0,3.0,0.4,0.0,3
13,18490.0,2054.44,9,7.0,5.0,0.22,0.22,0
14,19347.0,2763.86,7,10.0,5.0,0.43,0.14,0
15,24941.0,3117.62,8,1.0,10.0,0.25,0.38,0
16,28563.0,3570.38,8,7.0,2.0,0.38,0.25,0
17,14484.0,2896.8,5,2.0,5.0,0.2,0.0,3
18,8074.0,2018.5,4,7.0,9.0,0.25,0.5,2
19,6929.0,2309.67,3,3.0,5.0,0.33,0.0,1
20,4408.0,4408.0,1,9.0,10.0,0.0,0.0,3
21,14190.0,2365.0,6,5.0,2.0,0.0,0.0,0
22,7440.0,2480.0,3,7.0,7.0,0.67,0.33,3
23,19469.0,1946.9,10,8.0,6.0,0.3,0.2,0
24,16534.0,4133.5,4,2.0,7.0,0.5,0.0,3
25,12719.0,3179.75,4,1.0,8.0,0.5,0.5,2
26,9026.0,2256.5,4,7.0,10.0,0.25,0.0,1
27,19989.0,3331.5,6,6.0,5.0,0.5,0.5,0
28,20987.0,2998.14,7,6.0,2.0,0.14,0.43,0
29,4253.0,1417.67,3,2.0,7.0,0.0,0.33,1
30,22781.0,2531.22,9,3.0,7.0,0.44,0.0,0
31,14962.0,2493.67,6,4.0,8.0,0.33,0.17,0
32,28958.0,3217.56,9,3.0,7.0,0.33,0.11,0
33,5771.0,1923.67,3,2.0,10.0,0.0,0.33,1
34,16045.0,2674.17,6,3.0,7.0,0.0,0.67,2
35,8533.0,2844.33,3,6.0,9.0,0.0,0.33,2
36,24595.0,2732.78,9,9.0,8.0,0.11,0.33,0
